company,drug,streak,start,end,reasons,color,type,info
WestWard,atropine,1,12/15/11,3/25/14,; demand increase,orange,pediatric;anesthesia;neurology;,"N/A;West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial.   West-Ward has accelerated production on this product and is projecting to have several lots available by the end of December 2011.   Product will be made available as it is released;West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial.
--  
-- West-Ward has accelerated production on this product and is projecting to have several lots available by the end of December 2011.
--  
-- Product will be made available as it is released;West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial.--West-Ward has accelerated production on this product and is projecting to have additional inventory available by middle of March 2012.--Product will be made available as it is release.;West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial. -- West-Ward has accelerated production on this product and is projecting to have additional inventory available by middle of March 2012. -- Product will be made available as it is release.;West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial.
--
-- West-Ward has accelerated production on this product and is projecting to have additional inventory available by middle of March 2012.
--
-- Product will be made available as it is release.;West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial. -- West-Ward has accelerated production on this product and is projecting to have additional inventory available by end of April 2012.  Additional lots will also be manufactured in May 2012.   Product will be made available as it is released.;Increase in product demand. West-Ward is currently experiencing a backorder situation on the 0.4 mg/mL- 20 mL vial. -- West-Ward has accelerated production on this product and is projecting to have additional inventory available by end of April 2012.  Additional lots will also be manufactured in May 2012.   Product will be made available as it is released.;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently has limited quantities available.--Additional lots will also be manufactured and available in August 2012.  --Product will be made available as it is released.--Shortage per Manufacturer:--Increase in product demand.;0.4 mg/mL- 20 mL vial--
-- (NDC 0641-6006-10) West-Ward currently has limited quantities available.
--  
-- Additional lots will also be manufactured and available in August 2012.  
-- Product will be made available as it is released.
-- Shortage per Manufacturer:--
-- Increase in product demand.;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently experiencing a backorder sitation. West-Ward has accelerated production to meet increased demand.--Several lots are scheduled for production and anticipated to be available by the end of January 2013.--Product will be made available as it is released.--;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently experiencing a backorder sitation. West-Ward has accelerated production to meet increased demand.--Several lots are scheduled for production and anticipated to be available by the end of February 2013.--Product will be made available as it is released.--;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently has limited quantities available on this product. West-Ward has accelerated production to meet increased demand.--Additional lots are anticipated to be available in the July-August 2013 timeframe.--Product will be made available as it is released.--;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently has limited quantities available on this product. West-Ward has accelerated production to meet increased demand.--Additional lots are anticipated to be available in the August-September 2013 timeframe.--Product will be made available as it is released.--;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently has inventory available for this product. West-Ward has accelerated production to meet increased demand.--Additional lots are anticipated to be available in November 2013.--Product will be made available as it is released.--;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10) West-Ward currently has inventory available for this product. West-Ward has accelerated production to meet increased demand.--Additional lots are anticipated to be manufactured and available in the January - February 2014 timeframe.--Product will be made available as it is released.--;0.4 mg/mL- 20 mL vial--(NDC 0641-6006-10)--  West-Ward currently has inventory available for this product. West-Ward has accelerated production to meet increased demand.--Additional lots are anticipated to be manufactured and available in the January - February 2014 timeframe.--Product will be made available as it is released.--"
Bristol,avalide,1,4/28/11,3/1/12,manufacturing delays,blue,pediatric;anesthesia;neurology;,Please see the following link for updated information: Bristol-Myers Squib
BristolMyersSquibb,avalide,1,1/6/11,4/22/11,manufacturing delays,blue,pediatric;anesthesia;neurology;,~~~Manufacturing delays;BMS cannot estimate a date of availability.Bristol-Myers Squibb Medical Information Online-- ~~~;~~~Manufacturing delays;BMS cannot estimate a date of availability. Bristol-Myers Squibb Medical Information Online-- ~~~;~~~Manufacturing delays;Please see the following link for updated information: Bristol-Myers Squibb-- ~~~;~~~Manufacturing delays;Please see the following link for updated information: Bristol-Myers Squib~~~
Baxter,azactam,1,6/6/09,6/25/10,manufacturing delays,blue,pediatric;anesthesia;neurology;,"~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) in May/June time frame.  For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) in July/August time frame.  For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) by end of Sept. For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) in 2010. For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;BMS has no information regarding dates of availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) at this time.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~"
BMS,azactam,1,3/26/10,5/15/10,manufacturing delays,blue,pediatric;anesthesia;neurology;,"~~~Manufacturing delays;BMS has no information regarding dates of availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) at this time.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~"
BMS,azactam,2,5/27/10,6/25/10,manufacturing delays,blue,pediatric;anesthesia;neurology;,"~~~Manufacturing delays;BMS has no information regarding dates of availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) at this time.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~"
Elan,azactam,1,6/6/09,3/20/10,manufacturing delays,blue,pediatric;anesthesia;neurology;,"~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) in May/June time frame.  For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) in July/August time frame.  For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) by end of Sept. For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~;~~~Manufacturing delays;Elan estimates availability of Azactam 1 gram vials (NDC 51479-0041-15), and 2 gram vials (NDC 51479-0042-15) in 2010. For additional information call Elan at 1-800-859-8586.
--
-- 
--
--Baxter has 1 gram (NDC 51479-0048-01) and 2 gram (NDC 51479-0049-01) frozen aztreonam available.  For additional information call Baxter at 1-888-229-0001.~~~"
APP,bacteriostatic,1,9/1/12,8/15/13,demand increase,orange,pediatric;,"30 mL MD Vial Glass --(NDC # 63323-259-30)  Unavailable--  Shortage per Manufacturer:--Increased demand;10mL MD Vial Plastic --(NDC # 63323-924-10)  Next delivery for October 2012--  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Plastic --(NDC # 63323-924-30)  Next delivery for October 2012--  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Glass --(NDC # 63323-259-30)  Next delivery for October 2012  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Plastic --
-- (NDC # 63323-924-30)  Available --
-- Check wholesaler inventory  Shortage per Manufacturer:--
-- Increased demand;30 mL MD Vial Glass --
-- (NDC # 63323-259-30)  Next delivery for October 2012  Shortage per Manufacturer:--
-- Increased demand;10mL MD Vial Plastic --
-- (NDC # 63323-924-10)  Next delivery for October 2012--
--   Shortage per Manufacturer:--
-- Increased demand;10mL MD Vial Plastic --(NDC # 63323-924-10)  Available Check wholesalers inventory.--  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Glass --(NDC # 63323-259-30)  Next delivery anticipated December 2012  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Plastic --(NDC # 63323-924-30)  Next delivery for December 2012  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Plastic --(NDC # 63323-924-30)  Available Check wholesalers inventory.  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Glass --(NDC # 63323-259-30)  Available. Check wholesalers for inventory. Shortage per Manufacturer:--Increased demand;30 mL MD Vial Plastic --(NDC # 63323-924-30)  Back-ordered.  No estimated delivery at this time.  Shortage per Manufacturer:--Increased demand;30 mL MD Vial Plastic --(NDC # 63323-924-30)  Available. Check wholesalers for inventory. Shortage per Manufacturer:--Increased demand"
Hospira,bacteriostatic,1,9/1/12,8/15/13,manufacturing delays,blue,pediatric;,"20 mL vial--(NDC 0409-1966-05)--  Next delivery December--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;10 mL vial--(NDC 0409-1966-12)--  Next delivery October--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Next delivery September--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--(NDC 0409-1966-05)--  Next delivery 2013--Estimated recovery: 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;10 mL vial--(NDC 0409-1966-12)--  Next delivery October--Estimated recovery: 2Q 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Next delivery September--Estimated recovery: 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--(NDC 0409-1966-05)--  Next delivery December Estimated recovery: December--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;10 mL vial--(NDC 0409-1966-12)--  Next delivery December Estimated recovery: 4Q 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Next delivery October Estimated recovery: 1Q 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--
-- (NDC 0409-1966-05)--
--   Next delivery December Estimated recovery: December--
--   Please check with your wholesaler for available inventory.--
-- Shortage per Manufacturer: manufacturing delay--
--;10 mL vial--
-- (NDC 0409-1966-12)--
--   Next delivery December Estimated recovery: 4Q 2013--
--   Please check with your wholesaler for available inventory.--
-- Shortage per Manufacturer: manufacturing delay--
--;30 mL vial--
-- (NDC 0409-1966-07)--
--   Next delivery October Estimated recovery: 1Q 2013--
--   Please check with your wholesaler for available inventory.--
-- Shortage per Manufacturer: manufacturing delay--
--;10 mL vial--(NDC 0409-1966-12)--  Next delivery December --Estimated recovery: 4Q 2012--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--(NDC 0409-1966-05)--  Next delivery November--Estimated recovery: 1Q 2013  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Next delivery October--Estimated recovery: 1Q 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--(NDC 0409-1966-05)--  Next delivery December--Estimated recovery: 1Q 2013  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Next delivery November--Estimated recovery: 1Q 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;10 mL vial--(NDC 0409-1966-12)--  Available  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Next delivery January --Estimated recovery: 1Q 2013--  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;30 mL vial--(NDC 0409-1966-07)--  Available  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--(NDC 0409-1966-05)--  Next delivery January--Estimated recovery: 1Q 2013  Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--;20 mL vial--(NDC 0409-1966-05)--  Available Please check with your wholesaler for available inventory.--Shortage per Manufacturer: manufacturing delay--"
Bracco,barium,1,3/6/13,3/25/14,demand increase; material shortages; ,green,;medical;,DIGIBAR 190 BARIUM SULFATE FOR SUSPENSION- (190% w/v when constituted 232 g)- (NDC 32909-270-19 )--   --   --;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31)  --   --;LIQUID POLIBAR PLUS BARIUM SULFATE SUSPENSION (105% w/v- 58% w/w)- (NDC 32909-168-02)  --   --;MAXIBAR BARIUM SULFATE SUSPENSION (210% w/v- 80% w/w)-(NDC 32909-150-08)  --   --;E-Z-CAT DRY BARIUM SULFATE FOR SUSPENSION (2% w/w After Mixing)- (NDC 32909-727-01)  --   --;E-Z-HD BARIUM SULFATE FOR SUSPENSION (98% w/w)-(NDC 32909-764-01)  --   --;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-01)  --   --;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-02)  --   --;POLIBAR ACB BARIUM SULFATE (96% w/w)- NDC 32909-804-02  --   --;POLIBAR ACB BARIUM SULFATE (96% w/w)-  (NDC 32909-804-01)  --   --;DIGIBAR 190 BARIUM SULFATE FOR SUSPENSION- (190% w/v when constituted 232 g)- (NDC 32909-270-19 )--  Not yet available. Duration uncertain.  --;ENTERO-H--BARIUM SULFATE SUSPENSION--(80% w/v- 49% w/w) (NDC 32909-147-01) Not yet available. Duration uncertain.  --;LIQUID POLIBAR--BARIUM SULFATE SUSPENSION--(100% w/v- 56% w/w) (NDC 32909-164-01)--  Not yet available. Duration uncertain.  --;MAXIBAR BARIUM SULFATE SUSPENSION (210% w/v- 80% w/w)-(NDC 32909-150-08) Not yet available. Duration uncertain.  --;Sensatrast --BARIUM SULFATE USP- Ph. Eur 100% (NDC 32909-788-61) Not yet available. Duration uncertain.  --;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31) This product is still on shortage but should be available sometime in August 2013.  --;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-01) This product is still on shortage.  --;E-Z-DOSE WITH LIQUID POLIBAR PLUS--BARIUM SULFATE SUSPENSION--(105% w/v- 58% w/w) (NDC 32909-652-02) Not yet available. Duration uncertain.  --;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31) This product is still on shortage but should be available sometime in 4Q 2013.  --;DIGIBAR 190 BARIUM SULFATE FOR SUSPENSION- (190% w/v when constituted 232 g)- (NDC 32909-270-19 )--  To be discontinued  --;MAXIBAR BARIUM SULFATE SUSPENSION (210% w/v- 80% w/w)-(NDC 32909-150-08) To be discontinued  --;Sensatrast --BARIUM SULFATE USP- Ph. Eur 100% (NDC 32909-788-61) To be discontinued  --;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31) Available  --;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-01) This product is still on shortage  --;NULL NULL  --;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31) Available mid-March 2014  --
EZEM,barium,1,10/14/12,3/1/13,demand increase; material shortages,green,;medical;,"DIGIBAR 190 BARIUM SULFATE FOR SUSPENSION- (190% w/v when constituted 232 g)- (NDC 32909-270-19 )--   --   --;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31)  --   --;LIQUID POLIBAR PLUS BARIUM SULFATE SUSPENSION (105% w/v- 58% w/w)- (NDC 32909-168-02)  --   --;MAXIBAR BARIUM SULFATE SUSPENSION (210% w/v- 80% w/w)-(NDC 32909-150-08)  --   --;E-Z-CAT DRY BARIUM SULFATE FOR SUSPENSION (2% w/w After Mixing)- (NDC 32909-727-01)  --   --;E-Z-HD BARIUM SULFATE FOR SUSPENSION (98% w/w)-(NDC 32909-764-01)  --   --;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-01)  --   --;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-02)  --   --;POLIBAR ACB BARIUM SULFATE (96% w/w)- NDC 32909-804-02  --   --;POLIBAR ACB BARIUM SULFATE (96% w/w)-  (NDC 32909-804-01)  --   --;DIGIBAR 190 BARIUM SULFATE FOR SUSPENSION- (190% w/v when constituted 232 g)- (NDC 32909-270-19 )--
--    
--
--  
--
--  
--
--
--  --
--    
--
--;E-Z-DISK BARIUM SULFATE TABLETS (NDC 10361-778-31)  
--
--  
--
--  
--
--
--  --
--    
--
--;LIQUID POLIBAR PLUS BARIUM SULFATE SUSPENSION (105% w/v- 58% w/w)- (NDC 32909-168-02)  
--
--  
--
--  
--
--
--  --
--    
--
--;MAXIBAR BARIUM SULFATE SUSPENSION (210% w/v- 80% w/w)-(NDC 32909-150-08)  
--
--  
--
--  
--
--
--  --
--    
--
--;E-Z-CAT DRY BARIUM SULFATE FOR SUSPENSION (2% w/w After Mixing)- (NDC 32909-727-01)  
--
--  
--
--  
--
--
--  --
--    
--
--;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-01)  
--
--  
--
--  
--
--
--  --
--    
--
--;LIQUID E-Z-PAQUE BARIUM SULFATE SUSPENSION (60% w/v- 41% w/w)-(NDC 32909-186-02)  
--
--  
--
--  
--
--
--  --
--    
--
--;POLIBAR ACB BARIUM SULFATE (96% w/w)- NDC 32909-804-02  
--
--  
--
--  
--
--
--  --
--    
--
--;POLIBAR ACB BARIUM SULFATE (96% w/w)-  (NDC 32909-804-01)  
--
--  
--
--  
--
--
--  --
--    
--
--;E-Z-HD BARIUM SULFATE FOR SUSPENSION (98% w/w)-(NDC 32909-764-01)  
--
--  
--
--  
--
--
--  --
--    
--
--"
Schering,betamethasone,1,3/16/12,5/15/12,recall,yellow,;medical;,Voluntary product recall conducted Jan 23- 2012. Product will be unavailable for an undetermined period of time.;Technical Issue Voluntary product recall conducted Jan 23- 2012. Product will be unavailable for an undetermined period of time.;
Bristol,bicnu,1,5/11/11,5/18/11,manufacturing delays,blue,;medical;,Bristol-Myers Squibb has BICNU injection on back order and the company estimates a release date of late-May 2011.
BristolMyersSquibb,bicnu,1,1/13/11,3/2/11,manufacturing delays,blue,;medical;,~~~Manufacturing delays at contract manufacturer.;BMS working to have product released as soon as possible - planned date of release will be posted once available.~~~
Prometheus,bismuth,1,11/13/12,1/8/14,material shortages,green,pediatric;anti-infective;,HELIDAC (bismuth subsalicylate/tetracycline hydrochloride/metronidazole) Therapy (NDC 65483-495-14) Prometheus has limited product available and cannot estimate a release date for new batches. Shortage per Manufacturer: Material Shortage (Tetracycline HCl capsules);HELIDAC (bismuth subsalicylate/tetracycline hydrochloride/metronidazole) Therapy (NDC 65483-495-14) Prometheus currently estimates release of new batches 4Q 2014. Shortage per Manufacturer: Material Shortage (Tetracycline HCl capsules)
APP,bleomycin,1,12/18/10,3/1/12,manufacturing delays; demand increase,blue,pediatric;anti-infective;,"~~~Increased demand--Manufacturing delays--Manufacturing delays--Manufacturing delays-- ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.--Additional information forthcoming.--Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.--Backordered until 1Q 2011.~~~;~~~Increased demand--Manufacturing delays--Manufacturing delays--Manufacturing delays-- ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.--15 unit vials (NDC 00703-3154-01) and 30 unit vials (NDC 00703-3155-01) are now available and the company is reviewing orders prior to shipping.--Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.--Backordered until 1Q 2011.-- ~~~;~~~Increased demand--
--
--
--
--
--
--
--
--
--
-- Manufacturing delays--
--
--
--
--
--  
--
--
-- Manufacturing delays--
--
--
--
--
--
--
--  
-- Manufacturing delays   ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.--
--
--
-- 15 unit vials (NDC 00703-3154-01) and 30 unit vials (NDC 00703-3155-01) are now available and the company is reviewing orders prior to shipping.
--
--
-- Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.
-- Backordered until 1Q 2011.~~~;~~~Increased demand-- Manufacturing delays--   -- Manufacturing delays--   Manufacturing delays   ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.-- 15 unit vials (NDC 00703-3154-01) and 30 unit vials (NDC 00703-3155-01) are now available and the company is reviewing orders prior to shipping. -- Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date. Backordered until 1Q 2011.~~~;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.;APP has Bleomycin 15 units and 30 units presentations on back order.   The 15 unit is estimated to release mid-July and 30 unit is estimated to release early-August.;APP has Bleomycin 15 units and 30 units presentations on back order. Releases on both presentations are expected in early January 2012.;APP has Bleomycin 15 units and 30 units presentations on back order.   Releases on both presentations are expected in early January 2012."
Bedford,bleomycin,1,12/18/10,3/1/12,manufacturing delays; discontinued,black,pediatric;anti-infective;,"~~~Increased demand--Manufacturing delays--Manufacturing delays--Manufacturing delays-- ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.--Additional information forthcoming.--Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.--Backordered until 1Q 2011.~~~;~~~Increased demand--Manufacturing delays--Manufacturing delays--Manufacturing delays-- ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.--15 unit vials (NDC 00703-3154-01) and 30 unit vials (NDC 00703-3155-01) are now available and the company is reviewing orders prior to shipping.--Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.--Backordered until 1Q 2011.-- ~~~;~~~Increased demand--
--
--
--
--
--
--
--
--
--
-- Manufacturing delays--
--
--
--
--
--  
--
--
-- Manufacturing delays--
--
--
--
--
--
--
--  
-- Manufacturing delays   ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.--
--
--
-- 15 unit vials (NDC 00703-3154-01) and 30 unit vials (NDC 00703-3155-01) are now available and the company is reviewing orders prior to shipping.
--
--
-- Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.
-- Backordered until 1Q 2011.~~~;~~~Increased demand-- Manufacturing delays--   -- Manufacturing delays--   Manufacturing delays   ;APP is currently back-ordered on all presentations of Bleomycin for Injection at this time. APP is anticipating batch releases to resume in the first quarter of 2011.-- 15 unit vials (NDC 00703-3154-01) and 30 unit vials (NDC 00703-3155-01) are now available and the company is reviewing orders prior to shipping. -- Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date. Backordered until 1Q 2011.~~~;Bedford has bleomycin 15 and 30 unit vials on long term back order with no release date.;Bedford currently has all presentations discontinued."
