company,drug,streak,start,end,reasons,color,,,,,,,,,,,,,,
BBraun,amino,1,10/19/10,4/22/11,Demand increase,orange,Commodity shortage--Increase in demand--Increase in demand-- ;Commodity shortage----            ----            ----            ----            ----            ----            Increase in demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Commodity shortage--             --             --             --             --             --             Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
Baxter,amino,1,10/19/10,4/22/11,Demand increase,orange,Commodity shortage--Increase in demand--Increase in demand-- ;Commodity shortage----            ----            ----            ----            ----            ----            Increase in demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Commodity shortage--             --             --             --             --             --             Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
Hospira,amino,1,10/19/10,4/22/11,Demand increase,orange,Commodity shortage--Increase in demand--Increase in demand-- ;Commodity shortage----            ----            ----            ----            ----            ----            Increase in demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Commodity shortage--             --             --             --             --             --             Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
Hospira,aminophylline,1,10/9/10,1/26/11,Supply interruption,red,Supplier of one excipient can no longer supply; currently arranging for new supplier.-- ,,,,,,,,,,,,,
Hospira,ammonium,1,2/2/11,4/22/11,Supply interruption,red,Supply interruption-- ;Supply interruption,,,,,,,,,,,,,
Ucyclyd,ammonul,1,6/6/09,4/22/11,X,red,See information in Related Information section.--;See information in Related Information section.-- ;See information in Related Information section.,,,,,,,,,,,,,
Global,amphetamine,1,4/14/11,4/22/11,API limitations,red,API limitations due to DEA quota and uneven product distribution patterns.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            This product is subject to DEA quota limitations.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Waiting on additional information.;API limitations due to DEA quota and uneven product distribution patterns.--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             This product is subject to DEA quota limitations.--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Waiting on additional information.,,,,,,,,,,,,,
Shire,amphetamine,1,4/14/11,4/22/11,API limitations,red,API limitations due to DEA quota and uneven product distribution patterns.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            This product is subject to DEA quota limitations.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Waiting on additional information.;API limitations due to DEA quota and uneven product distribution patterns.--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             This product is subject to DEA quota limitations.--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Waiting on additional information.,,,,,,,,,,,,,
Teva,amphetamine,1,4/14/11,4/22/11,API limitations,red,API limitations due to DEA quota and uneven product distribution patterns.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            This product is subject to DEA quota limitations.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Waiting on additional information.;API limitations due to DEA quota and uneven product distribution patterns.--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             This product is subject to DEA quota limitations.--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Waiting on additional information.,,,,,,,,,,,,,
Hospira,aquasol,1,12/9/10,4/22/11,Site change,red,Change in manufacturing sites. ;Change in manufacturing sites.,,,,,,,,,,,,,
Pfizer,arginine,1,11/12/10,4/22/11,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
Bedford,atracurium,1,4/30/10,12/9/10,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
BristolMyersSquibb,avalide,1,1/6/11,4/22/11,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
BMS,azactam,1,3/26/10,5/15/10,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
BMS,azactam,2,5/27/10,6/25/10,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
Baxter,azactam,1,6/6/09,6/25/10,Manufacturing delays,purple,Manufacturing delays,,,,,,,,,,,,,
Elan,azactam,1,6/6/09,3/20/10,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
BristolMyersSquibb,bicnu,1,1/13/11,3/2/11,Manufacturing delays,red,Manufacturing delays at contract manufacturer.,,,,,,,,,,,,,
APP,bleomycin,1,12/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand-- ----Manufacturing delays-- ----Manufacturing delays-- --Manufacturing delays-- -- -- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----             --            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----             --            Manufacturing delays   ;Increased demand--             --             --             --             --             --             --             --             --             --             Manufacturing delays--             --             --             --             --                           --             --             Manufacturing delays--             --             --             --             --             --             --                           Manufacturing delays   ,,,,,,,,,,,,,
Bedford,bleomycin,1,12/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand-- ----Manufacturing delays-- ----Manufacturing delays-- --Manufacturing delays-- -- -- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----             --            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----             --            Manufacturing delays   ;Increased demand--             --             --             --             --             --             --             --             --             --             Manufacturing delays--             --             --             --             --                           --             --             Manufacturing delays--             --             --             --             --             --             --                           Manufacturing delays   ,,,,,,,,,,,,,
Hospira,bleomycin,1,12/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand-- ----Manufacturing delays-- ----Manufacturing delays-- --Manufacturing delays-- -- -- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----             --            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----             --            Manufacturing delays   ;Increased demand--             --             --             --             --             --             --             --             --             --             Manufacturing delays--             --             --             --             --                           --             --             Manufacturing delays--             --             --             --             --             --             --                           Manufacturing delays   ,,,,,,,,,,,,,
Teva,bleomycin,1,12/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand-- ----Manufacturing delays-- ----Manufacturing delays-- --Manufacturing delays-- -- -- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----             --            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----             --            Manufacturing delays   ;Increased demand--             --             --             --             --             --             --             --             --             --             Manufacturing delays--             --             --             --             --                           --             --             Manufacturing delays--             --             --             --             --             --             --                           Manufacturing delays   ,,,,,,,,,,,,,
Baxter,bumetanide,1,10/9/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand--Increased demand-- ;Increased demand--Increased demand-- ----Increased Demand-- ;Increased demand--Increased demand-- --Increased Demand-- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand----             ----            ----            ----            ----            ----            ----            Increased Demand;Increased demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             Increased demand--              --             --             --             --             --             --             Increased Demand,,,,,,,,,,,,,
Bedford,bumetanide,1,10/19/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand--Increased demand-- ----Increased Demand-- ;Increased demand--Increased demand-- --Increased Demand-- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand----             ----            ----            ----            ----            ----            ----            Increased Demand;Increased demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             Increased demand--              --             --             --             --             --             --             Increased Demand,,,,,,,,,,,,,
Hospira,bumetanide,1,10/9/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand--Increased demand-- ;Increased demand--Increased demand-- ----Increased Demand-- ;Increased demand--Increased demand-- --Increased Demand-- ;Increased demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand----             ----            ----            ----            ----            ----            ----            Increased Demand;Increased demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             Increased demand--              --             --             --             --             --             --             Increased Demand,,,,,,,,,,,,,
AmericanRegent,calcium,1,7/16/10,8/15/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
AmericanRegent,calcium,2,9/14/10,4/22/11,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Amphastar,calcium,1,4/14/11,4/14/11,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Amphastar(IMS),calcium,1,8/7/10,8/15/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Amphastar(IMS),calcium,2,9/14/10,4/7/11,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Amphastar(IMS),calcium,3,4/22/11,4/22/11,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Graceway,calcium,1,7/13/09,10/24/09,Demand increase,orange,Increase in demand,,,,,,,,,,,,,
Hospira,calcium,1,7/16/10,8/15/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Hospira,calcium,2,9/14/10,4/22/11,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
APP,calciumg,1,3/11/11,4/22/11,Demand increase,orange,Increase in demand--Increase in demand-- ;Increase in demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
Luitpold,calciumg,1,3/11/11,4/22/11,Demand increase,orange,Increase in demand--Increase in demand-- ;Increase in demand----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Increase in demand--             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
Genzyme,cerezyme,1,8/14/09,1/6/11,Manufacturing delays,,Manufacturing delays---- ;Manufacturing delays-- ,,,,,,,,,,,,,
APP,cisplatin,1,6/6/09,6/6/09,Available,red,Available,,,,,,,,,,,,,
APP,cisplatin,2,10/30/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand.--Manufacturing delays--Manufacturing delays-- ;Increased demand.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----             ;Increased demand.--             --             --             --             --             --             --             --             --             --             Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             Manufacturing delays--              ,,,,,,,,,,,,,
Bedford,cisplatin,1,6/6/09,6/6/09,Available,red,Available,,,,,,,,,,,,,
Bedford,cisplatin,2,8/20/10,4/14/11,Demand increase; Manufacturing delays,orange,Increased demand.--Manufacturing delays--Manufacturing delays--;Increased demand.--Manufacturing delays--Manufacturing delays-- ;Increased demand.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----             ,,,,,,,,,,,,,
Teva,cisplatin,1,6/6/09,6/6/09,Available,red,Available,,,,,,,,,,,,,
Teva,cisplatin,2,8/20/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand.--Manufacturing delays--Manufacturing delays--;Increased demand.--Manufacturing delays--Manufacturing delays-- ;Increased demand.----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----             ;Increased demand.--             --             --             --             --             --             --             --             --             --             Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             Manufacturing delays--              ,,,,,,,,,,,,,
MedicinesCompany,cleviprex,1,3/26/10,4/22/11,X,red,See Related Information Section,,,,,,,,,,,,,
APP,cytarabine,1,12/18/10,4/22/11,Manufacturing delays,,Manufacturing delays-- ----Manufacturing delays-- ----Raw material issues;Manufacturing delays-- ----Manufacturing delays-- ----API shortage/manufacturing delay-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays--             --            ----            ----            ----            ----            ----            ----            API shortage/manufacturing delay;Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             Manufacturing delays                           --             --             --             --             --             --             --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Bedford,cytarabine,1,12/18/10,4/22/11,Manufacturing delays,red,Manufacturing delays-- ----Manufacturing delays-- ----Raw material issues;Manufacturing delays-- ----Manufacturing delays-- ----API shortage/manufacturing delay-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays--             --            ----            ----            ----            ----            ----            ----            API shortage/manufacturing delay;Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             Manufacturing delays                           --             --             --             --             --             --             --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Hospira,cytarabine,1,12/18/10,4/22/11,Manufacturing delays,red,Manufacturing delays-- ----Manufacturing delays-- ----Raw material issues;Manufacturing delays-- ----Manufacturing delays-- ----API shortage/manufacturing delay-- ;Manufacturing delays----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays--             --            ----            ----            ----            ----            ----            ----            API shortage/manufacturing delay;Manufacturing delays--             --             --             --             --             --             --             --             --             --             --             Manufacturing delays                           --             --             --             --             --             --             --             --             --             --             --             Increased demand,,,,,,,,,,,,,
SanofiAventis,ddavp,1,7/16/10,8/28/10,Manufacturing delays,red,Manufacturing delays,,,,,,,,,,,,,
Ferring,desmopressin,1,11/12/10,4/22/11,Demand increase; Manufacturing delays,orange,n/a--Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand / manufacturing delays----            ----            ----            ----            ----            Unanticipated increased demand----            ----            ----            ----             --             --            ----            ----            Manufacturing delays ;n/a--             --             --             --             --             --             --             --             --             --             Increased demand / manufacturing delays--             --             --             --             --             Unanticipated increased demand--             --             --             --                                         --             --             Manufacturing delays ,,,,,,,,,,,,,
Hospira,desmopressin,1,9/23/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a--Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand / manufacturing delays----            ----            ----            ----            ----            Unanticipated increased demand----            ----            ----            ----             --             --            ----            ----            Manufacturing delays ;n/a--             --             --             --             --             --             --             --             --             --             Increased demand / manufacturing delays--             --             --             --             --             Unanticipated increased demand--             --             --             --                                         --             --             Manufacturing delays ,,,,,,,,,,,,,
SanofiAventis,desmopressin,1,9/23/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a--Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand / manufacturing delays----            ----            ----            ----            ----            Unanticipated increased demand----            ----            ----            ----             --             --            ----            ----            Manufacturing delays ;n/a--             --             --             --             --             --             --             --             --             --             Increased demand / manufacturing delays--             --             --             --             --             Unanticipated increased demand--             --             --             --                                         --             --             Manufacturing delays ,,,,,,,,,,,,,
Teva,desmopressin,1,9/23/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a--Increased demand/manufacturing delays--Unanticipated increased demand-- ----Manufacturing delays-- -- -- ;n/a----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand / manufacturing delays----            ----            ----            ----            ----            Unanticipated increased demand----            ----            ----            ----             --             --            ----            ----            Manufacturing delays ;n/a--             --             --             --             --             --             --             --             --             --             Increased demand / manufacturing delays--             --             --             --             --             Unanticipated increased demand--             --             --             --                                         --             --             Manufacturing delays ,,,,,,,,,,,,,
APP,dexamethasone,1,3/31/11,4/22/11,Manufacturing delays,orange,Manufacturing issues--Increase in demand-- ;Manufacturing issues----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
AmericanRegent,dexamethasone,1,3/31/11,4/22/11,Manufacturing delays,orange,Manufacturing issues--Increase in demand-- ;Manufacturing issues----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increase in demand;Manufacturing issues--             --             --             --             --             --             --             --             --             --             --             --             Increase in demand,,,,,,,,,,,,,
BenVenue,dexrazoxane,1,6/6/09,10/24/09,Manufacturing delays,red,Manufacturing delays;Manufacturing delays---- ---- ----Zinecard now available from Pfizer,,,,,,,,,,,,,
PfizerZinecard,dexrazoxane,1,6/6/09,10/24/09,Manufacturing delays,red,Manufacturing delays;Manufacturing delays---- ---- ----Zinecard now available from Pfizer,,,,,,,,,,,,,
Amphastar,dextrose,1,8/7/10,8/15/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Amphastar,dextrose,2,9/14/10,12/19/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Hospira,dextrose,1,7/9/10,8/15/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Hospira,dextrose,2,9/14/10,12/19/10,Demand increase,orange,Unanticipated Increased Demand,,,,,,,,,,,,,
Baxter,diltiazem,1,4/22/11,4/22/11,Demand increase,orange,Demand increase,,,,,,,,,,,,,
Hospira,diltiazem,1,4/22/11,4/22/11,Demand increase,orange,Demand increase,,,,,,,,,,,,,
Bedford,doxorubicin,1,11/18/10,4/22/11,Demand increase,orange,Increased demand,,,,,,,,,,,,,
APP,doxorubicins,1,4/14/11,4/22/11,Demand increase,orange,Increased demand----            ----            ----            ----            --            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand;Increased demand--             --             --             --                          --             --             --             --             --             --             --             Manufacturing delays--             --             --             --                           --             --             --             --             --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Bedford,doxorubicins,1,11/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand----Manufacturing delays-- ----Increased demand ;Increased demand----Manufacturing delays-- --Increased demand ;Increased demand----            ----            ----            ----            --            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand;Increased demand--             --             --             --                          --             --             --             --             --             --             --             Manufacturing delays--             --             --             --                           --             --             --             --             --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Teva,doxorubicins,1,11/18/10,4/22/11,Demand increase; Manufacturing delays,orange,Increased demand----Manufacturing delays-- ----Increased demand ;Increased demand----Manufacturing delays-- --Increased demand ;Increased demand----            ----            ----            ----            --            ----            ----            ----            ----            ----            ----            ----            Manufacturing delays----            ----            ----            ----             --            ----            ----            ----            ----            ----            ----            ----            ----            ----            Increased demand;Increased demand--             --             --             --                          --             --             --             --             --             --             --             Manufacturing delays--             --             --             --                           --             --             --             --             --             --             --             --             --             Increased demand,,,,,,,,,,,,,
Lundbeck,elspar,1,4/15/10,6/20/10,Manufacturing delays,red,Manufacturing delays.,,,,,,,,,,,,,
Akorn,ephedrine,1,2/26/10,8/28/10,Manufacturing delays,red,Manufacturing delays---- ---- ---- ---- ---- --------Increase in demand.---- ---- ---- ;Manufacturing delays---- ---- ---- ---- ---- ----Increase in demand.---- ---- ---- ;Manufacturing delays.---- ---- ---- ---- ---- ----Increase in demand.---- ---- ---- ;Manufacturing delays.---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand.---- ---- ---- ;Manufacturing delays.-- -- -- -- -- -- -- --Increase in demand.-- -- -- ,,,,,,,,,,,,,
Hospira,ephedrine,1,2/26/10,8/28/10,Manufacturing delays,red,Manufacturing delays---- ---- ---- ---- ---- --------Increase in demand.---- ---- ---- ;Manufacturing delays---- ---- ---- ---- ---- ----Increase in demand.---- ---- ---- ;Manufacturing delays.---- ---- ---- ---- ---- ----Increase in demand.---- ---- ---- ;Manufacturing delays.---- ---- ---- ---- ---- ---- ---- ---- ----Increase in demand.---- ---- ---- ;Manufacturing delays.-- -- -- -- -- -- -- --Increase in demand.-- -- -- ,,,,,,,,,,,,,
