company,drug,streak,start,end,reasons,color,type,info,,,,,,,,,,,,,
GlaxoSmithKline,acyclovir,1,1/17/10,7/3/10,manufacturing delays; demand increase,blue,pediatric;antiviral;,Manufacturing Delays     Increased Demand;Manufacturing Delays     Increased Demand               Pending site transfer;Manufacturing Delays                   Increased Demand               Pending site transfer;Manufacturing Delays                   Increased Demand                 Pending site transfer;Manufacturing Delays               Increased Demand             Pending site transfer;Manufacturing Delays           Increased Demand           Pending site transfer;Manufacturing Delays         Increased Demand         Pending site transfer                         Increased Demand;Manufacturing Delays     Increased Demand             Pending site transfer                                           Increased Demand;Manufacturing Delays     Increased Demand           Pending site transfer                                   Increased Demand,,,,,,,,,,,,,
Mylan,acyclovir,1,1/25/10,7/3/10,manufacturing delays; demand increase,blue,pediatric;antiviral;,Manufacturing Delays     Increased Demand               Pending site transfer;Manufacturing Delays                   Increased Demand               Pending site transfer;Manufacturing Delays                   Increased Demand                 Pending site transfer;Manufacturing Delays               Increased Demand             Pending site transfer;Manufacturing Delays           Increased Demand           Pending site transfer;Manufacturing Delays         Increased Demand         Pending site transfer                         Increased Demand;Manufacturing Delays     Increased Demand             Pending site transfer                                           Increased Demand;Manufacturing Delays     Increased Demand           Pending site transfer                                   Increased Demand,,,,,,,,,,,,,
Teva,acyclovir,1,1/17/10,7/3/10,manufacturing delays; demand increase,blue,pediatric;antiviral;,Manufacturing Delays     Increased Demand;Manufacturing Delays     Increased Demand               Pending site transfer;Manufacturing Delays                   Increased Demand               Pending site transfer;Manufacturing Delays                   Increased Demand                 Pending site transfer;Manufacturing Delays               Increased Demand             Pending site transfer;Manufacturing Delays           Increased Demand           Pending site transfer;Manufacturing Delays         Increased Demand         Pending site transfer                         Increased Demand;Manufacturing Delays     Increased Demand             Pending site transfer                                           Increased Demand;Manufacturing Delays     Increased Demand           Pending site transfer                                   Increased Demand,,,,,,,,,,,,,
Bedford,adriamycin,1,10/19/10,11/12/10,demand increase,orange,,Increased demand  ,,,,,,,,,,,,,
Akorn,alcohol,1,12/16/11,3/1/12,available,,,Akorn has Alcohol Dehydrated (Ethanol > 98%) available in a 5 mL vials.,,,,,,,,,,,,,
AmericanRegent,alcohol,1,8/5/11,3/1/12,manufacturing delays; available,blue,,American Regent anticipates releases of the 1 mL and 5mL ampoules at the end of July and August.;1 ml ampoules adn 5 ml ampoules are now being released.;1 ml ampules and 5 ml ampules are now being released.;1ml ampules being released.;American Regent has 1 mL ampules (NDC 00517-8571-10) and 5 mL ampules (NDC 00517-8575-10) available.,,,,,,,,,,,,,
Akorn,alfentanil,2,8/1/13,8/1/13,available,,;analgesia;,0.5 mg/ml; 2ml ampule (NDC 17478-0067-02) Readily available N/A;0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) Readily available N/A,,,,,,,,,,,,,
Hospira,alfentanil,2,8/1/13,8/1/13,available,,;analgesia;,500 mcg/mL; 2 mL amp (NDC 0409-2266-02) Available Please check your wholesaler for all available inventory.;500 mcg/mL; 5 mL amp (NDC 0409-2266-05) Available Please check your wholesaler for all available inventory.,,,,,,,,,,,,,
Akorn,alfentanil,1,2/2/12,7/7/13,demand increase; available; quota request filled,orange,;analgesia;,"Limited emergency supply of Alfenta 2 mL and 5 mL ampules. 2 mL ampules are available- 2012. 5 mL ampules have a production scheduled for late 1Q 2012.;Limited emergency supply of Alfenta 2 mL and 5 mL ampules.
 
 2 mL ampules are available- 2012.
 
 
 5 mL ampules have a production scheduled for late 1Q 2012.;Limited emergency supply of Alfenta 2 mL and 5 mL ampules. 2 mL (NDC 17478-0067-02) due to release in April. 5 mL (NDC 17478-0067-05) due to release in April.;Increased demand Limited emergency supply of Alfenta 2 mL and 5 mL ampules. 2 mL (NDC 17478-0067-02) due to release in April. 5 mL (NDC 17478-0067-05) due to release in April.;;0.5 mg/ml; 2ml ampule (NDC 17478-0067-02) Readily available Quota request filed. (Per manufacturer)  Shortage per Manufacturer: Delayed DEA response (Per manufacturer);0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) On backorder pending DEA quota authorization. (Per manufacturer) Quota request filed. (Per manufacturer)  Shortage per Manufacturer: Delayed DEA response (Per manufacturer);0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) On backorder due to release late October Quota request filed. (Per manufacturer)  Shortage per Manufacturer: Delayed DEA response (Per manufacturer);0.5 mg/ml; 2ml ampule (NDC 17478-0067-02) Readily available Shortage per Manufacturer: Quota request filed Partial DEA authorization;0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) On backorder due to release late October Shortage per Manufacturer: Quota request filed Partial DEA authorization;0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) On backorder due to release late October Shortage per Manufacturer: 
 Quota request filed 
 Partial DEA authorization;0.5 mg/ml; 2ml ampule (NDC 17478-0067-02) Readily available Shortage per Manufacturer: 
 Quota request filed 
 Partial DEA authorization;0.5 mg/ml; 2ml ampule (NDC 17478-0067-02) Readily available NA;0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) Readily available NA;0.5 mg/ml; 2ml ampule (NDC 17478-0067-02) Readily available N/A;0.5 mg/ml; 5ml ampule (NDC 17478-0067-05) Readily available N/A",,,,,,,,,,,,,
Hospira,alfentanil,1,2/2/12,7/7/13,material shortage; demand increase; available,green,;analgesia;,"Product 500 mcg/mL- 2 mL amp (NDC 0409-2266-02): next delivery May. Product 500 mcg/mL; 5 mL amp (NDC 0409-2266-05): next delivery May. Please check your wholesaler for all available inventory.;Product 500 mcg/mL- 2 mL amp (NDC 0409-2266-02): next delivery May.
 
 
 Product 500 mcg/mL; 5 mL amp (NDC 0409-2266-05): next delivery May.
 
 
 Please check your wholesaler for all available inventory.;Material shortage (API). Product 500 mcg/mL- 2 mL amp (NDC 0409-2266-02): next delivery May. Product 500 mcg/mL; 5 mL amp (NDC 0409-2266-05): next delivery May. Please check your wholesaler for all available inventory.;;500 mcg/mL; 5 mL amp (NDC 0409-2266-05) Available Please check your wholesaler for all available inventory.   Due to increased demand- could see intermittent supply issues over the next couple months- until stable inventory position is attained.;500 mcg/mL; 2 mL amp (NDC 0409-2266-02) Available Please check your wholesaler for all available inventory.   Due to increased demand- could see intermittent supply issues over the next couple months- until stable inventory position is attained.;500 mcg/mL; 2 mL amp (NDC 0409-2266-02) Available Please check your wholesaler for all available inventory.
  
 Due to increased demand- could see intermittent supply issues over the next couple months- until stable inventory position is attained.;500 mcg/mL; 5 mL amp (NDC 0409-2266-05) Available Please check your wholesaler for all available inventory.
  
 Due to increased demand- could see intermittent supply issues over the next couple months- until stable inventory position is attained.;500 mcg/mL; 2 mL amp (NDC 0409-2266-02) Available Please check your wholesaler for all available inventory.;500 mcg/mL; 5 mL amp (NDC 0409-2266-05) Available Please check your wholesaler for all available inventory.",,,,,,,,,,,,,
Genentech,alteplase,1,3/6/13,11/8/13,manufacturing issues; available,blue,pediatric;cardiovascular;,lteplase (Activase) 100 mg vial (50242-085-27)     Shortage per manufacturer: Manufacturing issues. Contact your authorized Genentech distributor regarding product availability.;lteplase (Activase)- 50 mg vial (NDC 50242-044-13) Available.   Shortage per manufacturer: Manufacturing issues. Contact your authorized Genentech distributor regarding product availability.;Alteplase (Cathflo Activase)- 2 mg vial  (NDC 50242-0041-64) Potential limited availability projected to continue into Q2 2013.    Shortage per manufacturer: Manufacturing issues. Contact your authorized Genentech distributor regarding product availability.;Alteplase (Activase) 100 mg vial (50242-085-27)   Available;Alteplase (Activase)- 50 mg vial (NDC 50242-044-13) Available;Alteplase (Cathflo Activase)- 2 mg vial  (NDC 50242-0041-64) Potential limited availability of Cathflo Activase 2mg vial is projected to continue into Q2 2013  Shortage per Manufacturer: Manufacturing Issues Contact your authorized Genentech distributor regarding product availability   Some vials of Cathflo Activase have been found to contain rubber stopper particulates after reconstitution. Studies have indicated that filtration through a 5 micron filter needle is sufficient to remove these particles. Cathflo Activase vials should be carefully inspected after reconstitution for foreign matter or discoloration. Do not administer Cathflo Activase if particulate matter is discovered. There is a potential risk that particulate matter may cause embolic events if introduced into the bloodstream.   Please see the Dear Pharmacist Letter (PDF - 352KB) for additional information.;Alteplase (Cathflo Activase)- 2 mg vial  (NDC 50242-0041-64) Potential limited availability of Cathflo Activase 2mg vial is projected to continue into Q3 2013  Shortage per Manufacturer: Manufacturing Issues Contact your authorized Genentech distributor regarding product availability   Some vials of Cathflo Activase have been found to contain rubber stopper particulates after reconstitution. Studies have indicated that filtration through a 5 micron filter needle is sufficient to remove these particles. Cathflo Activase vials should be carefully inspected after reconstitution for foreign matter or discoloration. Do not administer Cathflo Activase if particulate matter is discovered. There is a potential risk that particulate matter may cause embolic events if introduced into the bloodstream.   Please see the Dear Pharmacist Letter (PDF - 352KB) for additional information.,,,,,,,,,,,,,
Heritage,amikacin,1,2/14/14,3/25/14,available,,pediatric;anti-infective;,250 mg/mL: 2 mL vials- package of 10 (NDC 23155-290-41)   Available from March 2014    Expected new launch;250 mg/mL: 4 mL vials- package of 10 (NDC 23155-290-42)   Available from March 2014    Expected new launch,,,,,,,,,,,,,
Bedford,amikacin,1,7/9/10,10/9/10,manufacturing delays,blue,pediatric;anti-infective;,Manufacturing delays reported by both manufacturers. ;Manufacturing delays reported by both manufacturers.  ,,,,,,,,,,,,,
Teva,amikacin,1,7/9/10,10/9/10,manufacturing delays,blue,pediatric;anti-infective;,Manufacturing delays reported by both manufacturers. ;Manufacturing delays reported by both manufacturers.  ,,,,,,,,,,,,,
Bedford,amikacin,1,12/18/10,3/25/14,manufacturing delays; capacity constraints; pending manufacturing change; available,blue,pediatric;anti-infective;,"Bedford has all presentations of amikacin on a back order and the company cannot estimate a release date.;Bedford anticipates release of the 500mg and 1g presentations in late May.  The 100mg presentation has been discontinued.;Bedford anticipates release of the 500mg and 1g presentations in late May.  The 100mg presentation has been discontinued. 250 mg/mL- 2 mL vials- package of 10 (NDC 55390-0226-02) ? Available in 10 pack presentation 250 mg/mL- 4 mL vials- package of 10 (NDC 55390-0226-04) ? Available in 10 pack presentation;250 mg/mL- 2 mL vials- package of 10 (NDC 55390-0226-02) ? Available in 10 pack presentation 250 mg/mL- 4 mL vials- package of 10 (NDC 55390-0226-04) ? Available in 10 pack presentation;Amikacin 250 mg/mL- 2 mL vials- package of 10 (NDC 55390-0226-02) are available. The 250 mg/mL- 4 mL vials- package of 10 (NDC 55390-0226-04) are on backorder with no estimated date of release. Emergency supplies are available.;Bedford has amikacin 250 mg/mL 2 mL on intermittent backorder with product available as it is released. The 4 mL presentation does not have estimated estimate release timing.;Bedford has limited allocated quantities of amikacin 250 mg/mL 2 mL (NDC 55390-0226-02)  available for drop shipment- contact your local Bedford  Account Executives. The 1 g/4 mL (NDC 55390-0226-04) are available on short supply with next estimate release late September.;Bedford has limited allocated quantities of amikacin 250 mg/mL 2 mL (NDC 55390-0226-02)  available for drop shipment- contact your local Bedford  Account Executives. The 1 g/4 mL (NDC 55390-0226-04) are available on short supply with next estimate release Mid October.;Bedford has limited allocated quantities of amikacin 250 mg/mL 2 mL (NDC 55390-0226-02) and 1 g/4 mL (NDC 55390-0226-04)  available for drop shipment- contact your local Bedford  Account Executives.;Bedford has all amikacin presentations on back order and the company cannot estimate a release date.;Bedford Laboratories has 500mg/2ml and 1gm/4ml available in limited quantities.  Once this supply is depleted- the next estimated release dates are unknown. Availability of products is updated on the Bedford  Laboratories website.;Manufacturing delays Bedford Laboratories has 500mg/2ml and 1gm/4ml available in limited quantities.  Once this supply is depleted- the next estimated release dates are unknown. Availability of products is updated on the Bedford  Laboratories website.;;250 mg/mL- 2 mL vials (NDC 55390-0226-02) Unavailable Bedford Laboratories has 500mg/2ml and 1gm/4ml available in limited quantities.  Once this supply is depleted- the next estimated release dates are unknown. Availability of products is updated on the Bedford  Laboratories website. Shortage per Manufacturer: Manufacturing delays;250 mg/mL- 4 mL vials (NDC 55390-0226-04) Unavailable Bedford Laboratories has 500mg/2ml and 1gm/4ml available in limited quantities.  Once this supply is depleted- the next estimated release dates are unknown. Availability of products is updated on the Bedford  Laboratories website. Shortage per Manufacturer: Manufacturing delays;250 mg/mL- 2 mL vials (NDC 55390-0226-02) Unavailable Bedford Laboratories has 500mg/2ml and 1gm/4ml available in limited quantities.  Once this supply is depleted- the next estimated release dates are unknown. Availability of products is updated on the Bedford  Laboratories website.
 Shortage per Manufacturer: 
 Manufacturing delays;250 mg/mL- 4 mL vials (NDC 55390-0226-04) Unavailable Bedford Laboratories has 500mg/2ml and 1gm/4ml available in limited quantities.  Once this supply is depleted- the next estimated release dates are unknown. Availability of products is updated on the Bedford  Laboratories website.
 Shortage per Manufacturer: 
 Manufacturing delays;250 mg/mL- 4 mL vials (NDC 55390-0226-04) Unavailable Shortage per Manufacturer: Capacity constraint. Availability of products is updated on the Bedford Laboratories website.;250 mg/mL- 2 mL vials (NDC 55390-0226-02) Unavailable Shortage per Manufacturer: Capacity constraint. Availability of products is updated on the Bedford Laboratories website.;250 mg/mL- 2 mL vials (NDC 55390-0226-02) Available Check Wholesaler for inventory.;250 mg/mL- 4 mL vials (NDC 55390-0226-04) Unavailable Shortage: Pending Manufacturing Change or Addition. Availability of products are updated on the Bedford Laboratories website.;250 mg/mL- 4 mL vials (NDC 55390-0226-04) Unavailable Shortage: Pending Manufacturing Change or Addition. Availability of products is updated on the Bedford Laboratories website.",,,,,,,,,,,,,
Teva,amikacin,1,12/18/10,3/25/14,manufacturing delays; demand increase; available,blue,pediatric;anti-infective;,Teva has amikacin 250 mg/mL 2 mL (NDC 00703-9032-03) and 4 mL (NDC 00703-9040-03) vials on allocation. If a pharmacy cannot obtain product from their wholesaler- please have the wholesaler contact Teva directly to place an emergency order.;Teva has amikacin 250 mg/mL 4 mL vials available for drop shipment (NDC 00703-9040-03).;Teva has released batches of amikacin 250 mg/mL 4 mL vials on 3/30/2012.  The product is available for drop shipment and Teva is shipping to wholesalers on allocation.;Available Teva has released batches of amikacin 250 mg/mL 4 mL vials on 3/30/2012.  The product is available for drop shipment and Teva is shipping to wholesalers on allocation.;;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva expects additional inventory to be available by the beginning of August. Shortage per Manufacturer: Manufacturing delays;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva has 4mL vials available for drop shipment only through the month of September.;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva has 4mL vials available for drop shipment only through the month of September. Teva expects to continue to allocate the product for the remainder of 2012.;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva has 4mL vials available on allocation. Teva expects to continue to allocate the product for the remainder of 2012.;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva has 4mL vials available on allocation. Teva expects to continue to allocate the product through January 2013.;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva has 4mL vials available on allocation. Teva expects to continue to allocate the product through at least the end of March 2013.;250 mg/mL 4 mL vials   (NDC 00703-9040-03) Teva has 4mL vials available on allocation. Teva expects  additional supply in  April- and will be shipping to wholesalers.  Product is currently available for dropship.;250 mg/mL 2 mL vials (NDC 00703-9032-03) Teva has 2 mL and 4mL vials available on allocation with limited supply through the end of 2013. Teva has shipped product to wholesalers as supply allows.  Product is currently available for drop shipment.;250 mg/mL 4 mL vials (NDC 00703-9040-03) Teva has 2 mL and 4mL vials available on allocation with limited supply through the end of 2013. Teva has shipped product to wholesalers as supply allows.  Product is currently available for drop shipment.;250 mg/mL 4 mL vials (NDC 00703-9040-03) Available Teva has shipped product to wholesalers as supply allows.  Product is currently available for drop shipment.;250 mg/mL 2 mL vials (NDC 00703-9032-03) Available Teva has shipped product to wholesalers as supply allows.  Product is currently available for drop shipment.,,,,,,,,,,,,,
